Type,Family,Model Name,Input Size,Accuracy,Max BS,Optimal BS,Throughput,Latency,Energy,DONE
TBD,TBD,bat_resnext26ts.ch_in1k,256,78.28,,,,,,True
TBD,TBD,beit_base_patch16_224.in22k_ft_in22k_in1k,224,85.244,,256.0,3666.046799713654,69.84729686764705,67.78929889278722,True
TBD,TBD,beit_base_patch16_384.in22k_ft_in22k_in1k,384,86.816,,80.0,1158.088039994553,69.10281253284671,215.1640953130484,True
TBD,TBD,beit_large_patch16_224.in22k_ft_in22k_in1k,224,87.488,,64.0,1115.3648113217805,57.38726782530121,223.6948579221452,True
TBD,TBD,beit_large_patch16_384.in22k_ft_in22k_in1k,384,88.382,,40.0,373.2970875657965,107.16286123595506,667.786272375365,True
TBD,TBD,beit_large_patch16_512.in22k_ft_in22k_in1k,512,88.578,,22.0,195.4923088386824,112.54389265476192,1277.0569148341503,True
TBD,TBD,beitv2_base_patch16_224.in1k_ft_in1k,224,85.596,,256.0,3642.815820906768,70.30344558518519,68.23987647334202,True
TBD,TBD,beitv2_base_patch16_224.in1k_ft_in22k_in1k,224,86.494,,128.0,3572.9301384097653,35.83312348679245,69.82931809650294,True
TBD,TBD,beitv2_large_patch16_224.in1k_ft_in1k,224,87.414,,64.0,1110.1118729584352,57.65694661212121,224.18530454800762,True
TBD,TBD,beitv2_large_patch16_224.in1k_ft_in22k_in1k,224,88.406,,64.0,1112.4191038800725,57.53729110240964,224.43697307955384,True
TBD,TBD,botnet26t_256.c1_in1k,256,79.256,,768.0,9947.44227112622,77.21000126016261,24.57535101376249,True
TBD,TBD,caformer_b36.sail_in1k,224,85.502,,168.0,1705.0537101779062,98.53324820833332,144.7682198178646,True
TBD,TBD,caformer_b36.sail_in1k_384,384,86.404,,48.0,560.9034002673275,85.57989412612612,444.24547452891136,True
TBD,TBD,caformer_b36.sail_in22k_ft_in1k,224,87.44,,160.0,1661.5366120188476,96.29973982653061,149.70348165937313,True
TBD,TBD,caformer_b36.sail_in22k_ft_in1k_384,384,88.066,,40.0,547.637796327495,73.04348618461539,453.48487596713267,True
TBD,TBD,caformer_m36.sail_in1k,224,85.24,,224.0,2339.8188017942166,95.73690150505053,106.1257957382436,True
TBD,TBD,caformer_m36.sail_in1k_384,384,86.16,,72.0,768.1847623804277,93.73255637623764,322.79460272231296,True
TBD,TBD,caformer_m36.sail_in22k_ft_in1k,224,86.608,,192.0,2305.40428459638,83.28427030701755,107.30961847731132,True
TBD,TBD,caformer_m36.sail_in22k_ft_in1k_384,384,87.472,,64.0,757.5768719282509,84.48317907142857,328.68452575158204,True
TBD,TBD,caformer_s18.sail_in1k,224,83.668,,576.0,6392.281776982732,90.11037298113207,38.591423867434486,True
TBD,TBD,caformer_s18.sail_in1k_384,384,85.036,,128.0,2072.397924711011,61.765269266233766,119.76174614850446,True
TBD,TBD,caformer_s18.sail_in22k_ft_in1k,224,84.086,,576.0,6321.277983993424,91.12208179807692,39.04383081161825,True
TBD,TBD,caformer_s18.sail_in22k_ft_in1k_384,384,85.424,,128.0,2068.5721412943235,61.87924416993464,120.07948676254036,True
TBD,TBD,caformer_s36.sail_in1k,224,84.544,,288.0,3355.291377468376,85.83589297297297,73.80691241891142,True
TBD,TBD,caformer_s36.sail_in1k_384,384,85.756,,96.0,1105.2408356040223,86.85994680909091,224.4737602100313,True
TBD,TBD,caformer_s36.sail_in22k_ft_in1k,224,85.788,,322.0,3336.0754524635176,96.52192491836735,74.06523146897833,True
TBD,TBD,caformer_s36.sail_in22k_ft_in1k_384,384,86.864,,110.0,1096.0082257822012,100.36574936170211,222.1386455241644,True
TBD,TBD,cait_m36_384.fb_dist_in1k,384,86.064,,20.0,121.29707759077782,164.91816331578946,2041.8515361109648,True
TBD,TBD,cait_m48_448.fb_dist_in1k,448,86.482,,8.0,53.23596640730166,150.28119896875,4699.350230360001,True
TBD,TBD,cait_s24_224.fb_dist_in1k,224,83.484,,256.0,1798.341591202793,142.35749813432835,138.71983735937556,True
TBD,TBD,cait_s24_384.fb_dist_in1k,384,85.042,,64.0,334.5068518337318,191.32769553999998,744.3477988361842,True
TBD,TBD,cait_s36_384.fb_dist_in1k,384,85.458,,44.0,224.0119561106716,196.4207111458333,1111.6952896442801,True
TBD,TBD,cait_xs24_384.fb_dist_in1k,384,84.064,,64.0,296.92596688571047,215.54335729545454,836.25097008636,True
TBD,TBD,cait_xxs24_224.fb_dist_in1k,224,78.392,,512.0,2540.817604139849,201.51149355319149,98.06598322285444,True
TBD,TBD,cait_xxs24_384.fb_dist_in1k,384,80.962,,128.0,379.0408668670289,337.695215,655.6004001352678,True
TBD,TBD,cait_xxs36_224.fb_dist_in1k,224,79.738,,320.0,1684.1224831042314,190.01124168,148.03013147044499,True
TBD,TBD,cait_xxs36_384.fb_dist_in1k,384,82.208,,84.0,251.93113678262984,333.4266854137931,987.8880957996306,True
TBD,TBD,coat_lite_medium.in1k,224,83.602,,160.0,1659.7361782249834,96.40301745454543,149.2042226989697,True
TBD,TBD,coat_lite_medium_384.in1k,384,84.894,,56.0,565.9957059125408,98.94302320833332,439.9032535383408,True
TBD,TBD,coat_lite_mini.in1k,224,79.096,,320.0,6086.039686456295,52.58025585635359,40.93396036684738,True
TBD,TBD,coat_lite_small.in1k,224,82.302,,224.0,3333.854386563697,67.19094286524823,74.43125277172904,True
TBD,TBD,coat_lite_tiny.in1k,224,77.548,,320.0,6608.155900400509,48.42647199489796,37.63852405170696,True
TBD,TBD,coat_mini.in1k,224,81.304,,176.0,1274.263890229313,138.12124653623187,194.45785848928853,True
TBD,TBD,coat_small.in1k,224,82.376,,136.0,972.6886267092128,139.82124695588234,253.84466689865482,True
TBD,TBD,coat_tiny.in1k,224,78.442,,192.0,1644.0987179745305,116.7831699382716,150.7593121115882,True
TBD,TBD,coatnet_0_rw_224.sw_in1k,224,82.394,,232.0,4490.458409485342,51.668414570652175,55.230268743606636,True
TBD,TBD,coatnet_1_rw_224.sw_in1k,224,83.612,,128.0,2594.93152410134,49.32997009375,95.82080079506022,True
TBD,TBD,coatnet_2_rw_224.sw_in12k_ft_in1k,224,86.58,,88.0,1881.361452188415,46.77704755172414,132.27398013774018,True
TBD,TBD,coatnet_bn_0_rw_224.sw_in1k,224,82.394,,176.0,4144.760008912896,42.466797473214285,60.04449432838043,True
TBD,TBD,coatnet_nano_rw_224.sw_in1k,224,81.704,,272.0,6228.12396174276,43.675538798165135,40.019401393996226,True
TBD,TBD,coatnet_rmlp_1_rw2_224.sw_in12k_ft_in1k,224,84.94,,128.0,2785.7592228771564,45.95280086893204,89.36462670392291,True
TBD,TBD,coatnet_rmlp_1_rw_224.sw_in1k,224,83.354,,152.0,2744.0470666627834,55.404356152046795,90.77074975463913,True
TBD,TBD,coatnet_rmlp_2_rw_224.sw_in12k_ft_in1k,224,86.54,,88.0,1947.385547346812,45.18993043809524,127.79502326914285,True
TBD,TBD,coatnet_rmlp_2_rw_224.sw_in1k,224,84.602,,84.0,1853.295057302705,45.32981758373206,134.2467430424892,True
TBD,TBD,coatnet_rmlp_2_rw_384.sw_in12k_ft_in1k,384,87.402,,30.0,645.4740762715878,46.47834952195122,381.8845939796488,True
TBD,TBD,coatnet_rmlp_nano_rw_224.sw_in1k,224,82.062,,208.0,5566.6388316108205,37.37900002755906,44.80931211834248,True
TBD,TBD,coatnext_nano_rw_224.sw_in1k,224,81.998,,384.0,5934.756489561463,64.72622452380952,41.889580599042475,True
TBD,TBD,convformer_b36.sail_in1k,224,84.83,,144.0,1468.004189567809,98.09426072916669,169.2660466023503,True
TBD,TBD,convformer_b36.sail_in1k_384,384,85.778,,48.0,527.3409555283247,91.02473995192308,471.9099867875721,True
TBD,TBD,convformer_b36.sail_in22k_ft_in1k,224,86.984,,144.0,1448.426191735158,99.42080538947367,171.61705361787065,True
TBD,TBD,convformer_b36.sail_in22k_ft_in1k_384,384,87.602,,48.0,520.2341783009211,92.26742303883495,478.0582302446339,True
TBD,TBD,convformer_m36.sail_in1k,224,84.486,,192.0,2010.9037135319656,95.48103265656563,123.43762046787823,True
TBD,TBD,convformer_m36.sail_in1k_384,384,85.58,,64.0,724.9241987796158,88.28716200925925,343.4586244431497,True
TBD,TBD,convformer_m36.sail_in22k_ft_in1k,224,86.152,,192.0,1984.826561549904,96.7426335,125.46394009324244,True
TBD,TBD,convformer_m36.sail_in22k_ft_in1k_384,384,86.868,,64.0,718.2774627010033,89.10541594392524,346.24911979962167,True
TBD,TBD,convformer_s18.sail_in1k,224,82.968,,512.0,5293.314789325109,96.7281446734694,47.036187298107464,True
TBD,TBD,convformer_s18.sail_in1k_384,384,84.394,,168.0,1936.421742829904,86.75937481818181,128.4214663870184,True
TBD,TBD,convformer_s18.sail_in22k_ft_in1k,224,83.762,,512.0,5256.959857932588,97.39879061855672,47.57814944079152,True
