Type,Family,Model Name,Input Size,Accuracy,Max BS,Optimal BS,Throughput,Latency,Energy,DONE
TBD,TBD,bat_resnext26ts.ch_in1k,256,78.28,608.0,,3102.411338536998,191.4655492,98.40951945,True
TBD,TBD,beit_base_patch16_224.in22k_ft_in22k_in1k,224,85.244,518.0,,728.3666378632452,175.7555182037037,420.1797360392693,True
TBD,TBD,beit_base_patch16_384.in22k_ft_in22k_in1k,384,86.816,138.0,,220.2871433676443,626.4559649333332,1399.9666096744347,True
TBD,TBD,beit_large_patch16_224.in22k_ft_in22k_in1k,224,87.488,194.0,,223.7380540739468,572.0985757058824,1378.922611786305,True
TBD,TBD,beit_large_patch16_384.in22k_ft_in22k_in1k,384,88.382,50.0,,67.95104935671738,647.5286636666666,4542.616107246303,True
TBD,TBD,beit_large_patch16_512.in22k_ft_in22k_in1k,512,88.578,22.0,,32.507523332576866,615.2432022,9491.845609,True
TBD,TBD,beitv2_base_patch16_224.in1k_ft_in1k,224,85.596,518.0,,725.7879758262382,176.37524957407405,421.6012975,True
TBD,TBD,beitv2_base_patch16_224.in1k_ft_in22k_in1k,224,86.494,518.0,,725.8382396,176.3631403888889,421.6039105398466,True
TBD,TBD,beitv2_large_patch16_224.in1k_ft_in1k,224,87.414,194.0,,225.42431847180995,567.8227727647059,1368.834674676397,True
TBD,TBD,beitv2_large_patch16_224.in1k_ft_in22k_in1k,224,88.406,194.0,,225.91969037892693,566.5798179,1365.3937089940164,True
TBD,TBD,botnet26t_256.c1_in1k,256,79.256,922.0,,3686.1046233522784,249.5894056842105,82.44348099783095,True
TBD,TBD,caformer_b36.sail_in1k,224,85.502,158.0,,476.6249511793771,302.12611880645164,645.0414137677061,True
TBD,TBD,caformer_b36.sail_in1k_384,384,86.404,54.0,,150.934214116267,238.518389625,2015.7354721739168,True
TBD,TBD,caformer_b36.sail_in22k_ft_in1k,224,87.44,158.0,,475.27524881174674,302.9851318064516,646.3581585087231,True
TBD,TBD,caformer_b36.sail_in22k_ft_in1k_384,384,88.066,54.0,,150.78853636266302,238.748080875,2016.6906958655488,True
TBD,TBD,caformer_m36.sail_in1k,224,85.24,212.0,,678.245302554716,212.3148089333333,447.7082095900123,True
TBD,TBD,caformer_m36.sail_in1k_384,384,86.16,72.0,,214.2824358127575,298.67170034375,1385.082050859873,True
TBD,TBD,caformer_m36.sail_in22k_ft_in1k,224,86.608,212.0,,674.8969731525891,213.36825380000002,450.87769359973765,True
TBD,TBD,caformer_m36.sail_in22k_ft_in1k_384,384,87.472,72.0,,213.5033445142619,224.82262081395348,1417.6209581035366,True
TBD,TBD,caformer_s18.sail_in1k,224,83.668,546.0,,1659.0330473326962,270.0401781111111,181.8202581918056,True
TBD,TBD,caformer_s18.sail_in1k_384,384,85.036,186.0,,529.4325944790642,341.8796171785714,573.5769495994041,True
TBD,TBD,caformer_s18.sail_in22k_ft_in1k,224,84.086,546.0,,1653.9258814567677,270.87332214285715,182.8545861096148,True
