Type,Family,Model Name,Input Size,Accuracy,Max BS,Optimal BS,Throughput,Latency,Energy,DONE
TBD,TBD,bat_resnext26ts.ch_in1k,256,78.28,,,,,,True
TBD,TBD,beit_base_patch16_224.in22k_ft_in22k_in1k,224,85.244,,256.0,6401.082567918817,39.99598508403361,47.11528514060103,True
TBD,TBD,beit_base_patch16_384.in22k_ft_in22k_in1k,384,86.816,,192.0,2052.5984432915943,93.5487399019608,148.48276916731513,True
TBD,TBD,beit_large_patch16_224.in22k_ft_in22k_in1k,224,87.488,,128.0,2092.9689867225147,61.17024626451613,145.78007535015016,True
TBD,TBD,beit_large_patch16_384.in22k_ft_in22k_in1k,384,88.382,,80.0,683.3199768017797,117.08121206172841,446.8626534534474,True
TBD,TBD,beit_large_patch16_512.in22k_ft_in22k_in1k,512,88.578,,32.0,358.4157598497963,89.28621530841122,848.0258038803564,True
TBD,TBD,beitv2_base_patch16_224.in1k_ft_in1k,224,85.596,,256.0,6397.6514441021645,40.01835301680672,47.177209658004536,True
TBD,TBD,beitv2_base_patch16_224.in1k_ft_in22k_in1k,224,86.494,,256.0,6398.260412810539,40.01667787815126,47.04597720511965,True
TBD,TBD,beitv2_large_patch16_224.in1k_ft_in1k,224,87.414,,128.0,2085.4757068533104,61.38834930967742,146.99083734379892,True
TBD,TBD,beitv2_large_patch16_224.in1k_ft_in22k_in1k,224,88.406,,128.0,2088.048896394202,61.312213812903224,146.15870803309576,True
TBD,TBD,botnet26t_256.c1_in1k,256,79.256,,1280.0,13224.203138380046,96.79460990816327,22.22206359697959,True
TBD,TBD,caformer_b36.sail_in1k,224,85.502,,320.0,2478.6078962920587,129.10791144594597,118.51959481901353,True
TBD,TBD,caformer_b36.sail_in1k_384,384,86.404,,80.0,800.8056862912771,99.90071901052632,352.9240759887198,True
TBD,TBD,caformer_b36.sail_in22k_ft_in1k,224,87.44,,256.0,2419.5585429959715,105.80723148888887,121.52097494657245,True
TBD,TBD,caformer_b36.sail_in22k_ft_in1k_384,384,88.066,,112.0,789.0359987804245,141.94832467164179,373.7703099835409,True
