Model Name,Input Size,imagenet-original,imagenet-real,imagenetv2-matched-frequency,sketch,imagenet-a,imagenet-a-clean,imagenet-r,imagenet-r-clean,url
bat_resnext26ts.ch_in1k,256,78.28,84.696,66.25,25.501,8.92,93.32,37.107,93.12,https://huggingface.co/timm/bat_resnext26ts.ch_in1k
beit_base_patch16_224.in22k_ft_in22k_in1k,224,85.244,89.425,75.7,46.258,50.747,97.06,60.163,96.66,https://huggingface.co/timm/beit_base_patch16_224.in22k_ft_in22k_in1k
beit_base_patch16_384.in22k_ft_in22k_in1k,384,86.816,90.407,77.77,48.69,66.987,97.83,63.403,97.34,https://huggingface.co/timm/beit_base_patch16_384.in22k_ft_in22k_in1k
beit_large_patch16_224.in22k_ft_in22k_in1k,224,87.488,90.159,79.36,54.973,69.053,98.17,71.033,97.5,https://huggingface.co/timm/beit_large_patch16_224.in22k_ft_in22k_in1k
beit_large_patch16_384.in22k_ft_in22k_in1k,384,88.382,90.599,80.27,56.979,80.173,98.5,73.187,97.82,https://huggingface.co/timm/beit_large_patch16_384.in22k_ft_in22k_in1k
beit_large_patch16_512.in22k_ft_in22k_in1k,512,88.578,90.715,80.82,56.796,82.96,98.56,73.047,97.77,https://huggingface.co/timm/beit_large_patch16_512.in22k_ft_in22k_in1k
beitv2_base_patch16_224.in1k_ft_in1k,224,85.596,89.271,76.46,45.998,53.64,97.17,61.487,96.77,https://huggingface.co/timm/beitv2_base_patch16_224.in1k_ft_in1k
beitv2_base_patch16_224.in1k_ft_in22k_in1k,224,86.494,89.758,77.27,49.512,61.48,97.7,65.74,96.96,https://huggingface.co/timm/beitv2_base_patch16_224.in1k_ft_in22k_in1k
beitv2_large_patch16_224.in1k_ft_in1k,224,87.414,90.112,78.6,54.169,67.627,97.92,70.437,97.29,https://huggingface.co/timm/beitv2_large_patch16_224.in1k_ft_in1k
beitv2_large_patch16_224.in1k_ft_in22k_in1k,224,88.406,90.362,80.41,58.374,76.6,98.55,76.303,97.76,https://huggingface.co/timm/beitv2_large_patch16_224.in1k_ft_in22k_in1k
botnet26t_256.c1_in1k,256,79.256,85.319,67.19,25.436,11.507,93.52,36.98,93.41,https://huggingface.co/timm/botnet26t_256.c1_in1k
